subject_id,is_expert,batch_idx,z_style_dim0,z_style_dim1,z_style_dim2,z_style_dim3,z_style_dim4,z_style_dim5,z_style_dim6,z_style_dim7,z_style_dim8,z_style_dim9,z_style_dim10,z_style_dim11,z_style_dim12,z_style_dim13,z_style_dim14,z_style_dim15,z_skill_dim0,z_skill_dim1,z_skill_dim2,z_skill_dim3,z_skill_dim4,z_skill_dim5,z_skill_dim6,z_skill_dim7,z_skill_dim8,z_skill_dim9,z_skill_dim10,z_skill_dim11,z_skill_dim12,z_skill_dim13,z_skill_dim14,z_skill_dim15,z_skill_dim16,z_skill_dim17,z_skill_dim18,z_skill_dim19,z_skill_dim20,z_skill_dim21,z_skill_dim22,z_skill_dim23,z_skill_dim24,z_skill_dim25,z_skill_dim26,z_skill_dim27,z_skill_dim28,z_skill_dim29,z_skill_dim30,z_skill_dim31,z_primitive_dim0,z_primitive_dim1,z_primitive_dim2,z_primitive_dim3,z_primitive_dim4,z_primitive_dim5,z_primitive_dim6,z_primitive_dim7,z_primitive_dim8,z_primitive_dim9,z_primitive_dim10,z_primitive_dim11,z_primitive_dim12,z_primitive_dim13,z_primitive_dim14,z_primitive_dim15,z_primitive_dim16,z_primitive_dim17,z_primitive_dim18,z_primitive_dim19,z_primitive_dim20,z_primitive_dim21,z_primitive_dim22,z_primitive_dim23,z_primitive_dim24,z_primitive_dim25,z_primitive_dim26,z_primitive_dim27,z_primitive_dim28,z_primitive_dim29,z_primitive_dim30,z_primitive_dim31,z_primitive_dim32,z_primitive_dim33,z_primitive_dim34,z_primitive_dim35,z_primitive_dim36,z_primitive_dim37,z_primitive_dim38,z_primitive_dim39,z_primitive_dim40,z_primitive_dim41,z_primitive_dim42,z_primitive_dim43,z_primitive_dim44,z_primitive_dim45,z_primitive_dim46,z_primitive_dim47,z_primitive_dim48,z_primitive_dim49,z_primitive_dim50,z_primitive_dim51,z_primitive_dim52,z_primitive_dim53,z_primitive_dim54,z_primitive_dim55,z_primitive_dim56,z_primitive_dim57,z_primitive_dim58,z_primitive_dim59,z_primitive_dim60,z_primitive_dim61,z_primitive_dim62,z_primitive_dim63
h.nakamura,1,0,-1.3092341,0.14997736,1.2444866,1.4816586,0.30346987,-0.16503116,0.16308434,0.6113055,-1.7605155,-1.002876,-1.1292932,-0.9669424,1.6239246,1.162564,-0.68802786,-0.431122,-0.19281605,2.90262,-1.2662632,1.6883787,1.0449911,-0.7761069,-0.014823433,0.04019057,-1.5270759,0.49143696,-1.6618869,0.43677676,-0.20453602,1.7419715,-0.62910295,-0.54047245,1.7077742,-0.018978417,2.075422,-0.24350417,-0.5777722,-0.3019049,-1.4218519,-0.9515008,-1.3913203,1.5441961,-0.27622178,0.67565966,-0.89277565,0.3809183,0.753561,-0.709606,-0.12392214,-0.060676098,-0.42913002,-0.24702096,-0.36138004,0.25781795,0.07691869,-0.19201294,-0.258919,0.20667951,0.039935566,-0.38195145,0.30280608,0.2169469,0.031361923,-0.18968424,0.40047038,0.6182713,-0.7151511,-0.041565657,-0.26511446,0.073927574,-0.01873267,-0.25353217,-0.398097,-0.14073017,-0.09966676,0.050315857,-0.16983318,0.54713917,0.27498782,-0.113512516,0.21778175,-0.06276259,-0.53563994,0.14443694,-0.27483374,0.71921366,-0.20290977,0.36422265,-0.3785717,-0.008738123,0.8443679,0.38527942,0.63482213,-0.25582412,-0.037530392,0.30152947,-0.036263436,-0.6998481,0.5247252,-0.92088693,0.37923166,0.37683302,0.092059314,0.19659176,-0.1784838,-0.2975111,-0.24641114,0.044334203,0.06732835,0.45487785,-0.6576717,0.40488604
h.nakamura,1,0,2.554054,1.3442879,0.21605827,-0.0015075207,0.4498932,0.43526143,0.63424885,0.95519614,0.56300735,0.517367,-0.3019141,-1.7603288,0.3548239,1.288856,0.34916073,-2.0966716,0.9183011,1.7865188,1.2637595,-0.54829603,0.90292454,0.08103244,-1.1435102,3.0145946,0.30639035,1.3915282,0.34494445,-0.13320854,0.1109664,0.84975415,1.5041128,0.7169837,-0.7787436,-2.0164833,0.75826275,0.45678228,-1.1167587,-0.22895923,-0.8742816,-0.41081563,1.0888866,-0.4085731,2.4222958,0.9373895,-0.42407548,-0.9918523,1.282866,-0.48221987,0.098339215,0.6005869,0.005580187,0.26521698,-0.52577937,0.4125157,-0.08448382,0.37405413,0.25157464,-0.10580303,0.7586548,0.06059829,0.68143594,-0.6148896,-0.78072155,-0.09427625,0.48981893,0.32525527,0.08189891,0.4242389,-0.34174374,-0.0056864284,-0.5641137,-0.6556679,-0.5280212,1.3077723,0.021252349,0.28090027,0.7419976,0.35225144,0.006534308,-0.1432659,-0.425682,-0.6992479,-0.1816123,-0.43179804,0.7926712,-0.26815146,0.50184214,0.1443206,0.29833552,-0.5514775,-0.0782,0.13726407,0.3733092,-0.86856616,-0.13410208,-0.14327788,-0.34013048,-0.1070432,-0.14128089,-0.21562947,0.6268299,-0.22271878,0.3558634,-0.18476747,0.057334017,-0.29969662,-0.12856707,-0.27780145,-0.5713436,0.33216214,-0.21095836,0.20983686
h.nakamura,1,0,0.27774447,-0.88299775,1.3135948,0.4351759,0.21172962,2.2209785,-2.4685528,1.6270294,2.104957,0.37098247,0.6202985,-1.021017,-0.36258253,0.69877714,-1.5234294,-1.6959983,-0.13467681,1.833895,-1.5756326,3.195945,0.40115333,-0.090035394,-1.0680072,0.86013263,-0.05344073,1.178623,1.4363428,1.2591622,0.8484806,-0.038680494,0.8710612,-0.35683575,-0.7116648,-0.781026,-0.59550273,-0.7812664,-1.2202048,1.1718737,0.38612044,0.43786582,-1.1429697,0.6064252,-2.0119312,0.31453168,0.5688231,1.3423878,0.18561232,-0.12668017,0.49389356,0.04434319,-0.36815974,0.029145628,-0.0025326014,0.29629457,-0.2532463,-0.013705373,-0.01840804,0.5454854,-0.25960353,-0.079803675,0.013377406,-0.33709425,0.0545606,-0.01421383,0.07550034,-0.124263495,-0.15619609,-0.24397862,-0.21476921,-0.569624,-0.0935599,-0.070277646,-0.053563222,0.21773072,-0.39890242,0.25897753,-0.45878404,-0.3432548,0.062485203,-0.52094376,0.48450482,-0.071238756,-0.14914265,0.25085676,-0.16542394,0.47676665,0.002343677,-0.19985297,0.35423622,0.22285041,0.31182942,1.5172174,0.89932406,-0.3312508,0.6469132,0.39542276,-0.59365714,-0.4300068,0.06827256,0.67505,0.93528783,1.0505662,0.13347386,-0.12693372,-0.11620778,0.47474295,-0.31672072,0.31771064,0.12593138,0.03576702,-0.19135205,0.0948329
h.nakamura,1,0,0.36516857,-0.7080001,0.07297859,0.7202569,0.008546043,0.41680205,-1.4321268,-0.012560591,-0.36408803,2.2003164,-0.19504654,-0.8842558,0.05283241,0.1041324,-1.4130981,2.0150275,-1.2325844,-0.5900336,-0.6372775,0.9880372,-1.17729,1.5446924,-0.89680535,-0.7958201,0.8026864,-0.89299697,-0.114353076,-1.9487189,-1.8225138,-0.6856667,-0.9242425,0.8349599,0.06394504,-1.4894387,-1.0303932,-0.48153132,-0.48536572,0.15697119,0.28767198,-0.029160708,0.5519694,-0.8385618,2.6440313,-0.03969851,1.3462007,-1.6002954,0.37185904,0.33058447,-0.19420832,0.35003057,0.31570318,0.45126128,0.19856218,0.75374997,0.36260492,-0.14628518,0.18620513,0.2430235,0.7455747,0.124632366,-0.56732106,0.4054018,-0.3584445,0.039647095,0.087760806,0.16918592,0.050757878,-0.31499305,-0.361593,-0.8905051,0.30693668,-0.71309936,-1.1206981,0.3334187,-0.4380689,0.12283281,-0.22367084,-0.26918668,0.4432783,-0.6898972,-0.23058169,-0.17117059,0.06936282,-0.34188128,0.069739595,-0.15337567,-0.07089552,0.6168432,0.5403466,0.40802777,0.93976265,0.5648024,0.5936845,-0.09141745,0.5672523,-0.2212203,0.22221568,-0.51603836,0.36574292,-0.7520695,0.37400845,0.6357888,0.15155818,0.29766968,-0.2622254,-0.8526017,-0.09812453,-0.037526496,0.15783036,-0.20416123,-0.31900483,-0.12745968
h.nakamura,1,0,-0.16874345,0.048093952,-1.3398297,-0.18770489,-1.1588153,-0.05673814,-0.26895195,0.68432367,0.07811885,-0.02609288,0.24863419,0.0171614,-0.8376689,-1.2220418,-0.12576386,0.41990948,-0.34219062,-0.7161738,0.7460788,-0.6799785,-0.9401791,-0.23277782,0.32997164,0.434463,0.306235,0.9762068,0.92683625,0.40537566,-0.44109106,0.041746832,0.85484475,1.1432794,-0.80740017,1.1121657,1.3808699,-1.2464911,1.1292753,0.0775,0.75666034,0.08676472,0.5007198,0.185131,1.0016037,-0.07611239,0.81322646,-1.1304274,-0.5833179,-0.2716648,0.36700353,-0.4003385,-0.59935594,-0.19149181,-0.6784375,-0.2444191,-0.2881859,-0.19331256,-0.027179522,0.0031068996,-0.0018738285,0.34741473,-0.08134204,-0.44827387,-0.541975,0.2625282,-0.51196,0.5192644,-0.3658638,0.030727826,-0.5182596,0.033955783,0.8385839,-0.33656532,-0.37907812,-0.30111933,-0.6742379,-0.002459094,0.3808223,0.2150402,0.32559505,-0.59495974,0.56500584,-0.30322474,-0.4061668,0.37830836,0.48693845,-0.07845667,-0.01218912,0.31758928,-0.016491994,0.17223893,0.50989723,0.7134346,0.5602134,-0.0282256,0.29281217,-0.17576805,-0.748574,-0.7155796,0.19133566,0.6214601,0.035795286,1.0090235,-0.4821837,-0.39569816,0.11386,-0.62090075,0.15669721,-0.3433758,-0.5473615,-0.4149841,-0.6951506,0.49618435
h.nakamura,1,0,0.8409432,1.7393421,-0.55091715,0.8136038,0.03733906,-2.7268593,-0.48837906,0.28469104,2.0797274,0.7815273,-0.06414746,1.4037943,-0.7126311,-0.26263085,-1.1071867,1.1816051,0.1727662,-0.6369753,0.59856236,0.9264036,0.48566735,0.6415361,0.33376518,-1.0730286,-0.2112132,-0.47216237,-1.9358796,0.25166705,-1.1653516,0.9066553,-1.604841,1.0658762,1.2164106,-1.2566738,0.73017824,-0.0012368187,0.94192135,-2.2808323,1.6847153,-0.021917112,-0.68005055,-0.3868253,-0.2198717,0.79042435,-1.4096011,0.23389503,0.008189887,-0.013906285,0.321692,-0.22402474,-0.25702623,-0.17714557,-0.44042748,0.21958631,-0.026929706,-0.028993905,-0.5327411,0.38663727,0.45808,0.042061225,-0.16030148,-0.5237824,0.47781667,-0.20787716,0.54021066,0.3653499,-0.19229108,-0.3721173,-0.46613407,-0.2477893,0.40669286,-0.74130833,-0.35853237,0.34565592,-0.013209745,0.32976937,0.38907945,0.68064654,0.4854077,0.08454105,-0.24644981,-0.6050167,0.0015705302,-0.5833213,-0.078056596,0.18119907,0.101990834,0.7836639,-0.07740748,-0.37990558,0.53994036,0.1908189,0.71899277,-0.7188355,0.63398206,0.35733706,-0.83751786,0.06485069,0.6880355,-0.19773933,0.5397593,0.54273987,-0.17665425,0.03591024,-0.20439103,0.037482,0.49849913,-0.11833927,-0.0034835339,-0.4144733,-0.5914019,0.18284455
h.nakamura,1,0,0.2947631,1.0531955,-0.54411006,-1.0653418,1.6154892,0.71943796,-1.7900668,-1.0682632,-1.3267835,-0.59998906,0.6618125,0.982003,0.60551214,0.24154767,-0.9544331,-0.15756272,0.97305024,0.21104088,-0.8580307,-1.0592561,-0.69098985,-0.17598696,-1.8718114,2.4058974,1.124758,-0.7766206,0.29289773,0.23262918,-1.0381186,0.21566343,-1.2542936,-1.2553471,1.0465068,-2.240245,-1.3585799,0.084951386,-0.5218314,-0.66140646,1.5941503,0.86050713,0.4934428,-0.02277334,0.09112127,1.3021228,-1.1978383,0.09414739,-0.83797336,-1.7180116,0.028666988,0.26357543,-0.8572255,-0.26271045,0.114938736,0.435871,-0.311327,-0.1538496,-0.32392514,0.048498448,0.0878326,0.42619893,0.15701616,0.111730725,-0.66912377,-0.19091818,0.35824805,-0.3862581,0.063794136,0.22861734,-0.28328192,0.123153165,-0.5363523,-0.8065951,-0.37700436,-0.21645981,-1.0520144,-0.75821435,0.982061,0.2696122,0.25417286,-0.5396607,-0.10467483,-0.8079752,0.2509655,-0.3871492,0.45215538,0.061299764,-0.8962324,0.40045688,0.7592204,0.8703009,0.3615027,0.96954775,0.48581293,-0.141225,-0.006937176,0.67084354,-0.3755595,0.051857978,0.029091313,0.21789199,0.055977408,0.22414131,-0.35078168,-0.13062471,-0.11897917,-0.62552345,0.2534343,0.43747976,-0.1565252,0.050350666,-0.9316921,-0.39345485
h.nakamura,1,0,0.76046807,2.0334425,0.9317075,-0.32888317,-0.050088003,-0.36925513,1.1133429,-0.75537544,1.2240148,-0.18832496,0.53878903,-1.230988,-0.32593882,-0.8740774,0.98667806,-1.0335883,-0.8753963,0.46466124,-0.11894626,-0.047109455,-0.021811396,-1.156239,0.20216814,0.41144678,0.6620696,-0.66377205,-1.0870329,-1.7556095,-0.78297156,0.6537974,1.7494954,0.3843549,1.6831732,1.6857623,0.363256,0.45211414,0.28193107,-0.9818907,-0.10671547,-0.13571295,0.11061462,0.2942959,-1.2600145,-2.197906,0.5273214,0.14623168,0.048333205,0.75332606,0.07947579,-0.013810039,-0.4498253,-0.54626286,-0.61351776,-0.19102299,0.013068497,0.2834856,-0.74808615,-0.22962971,-0.13377038,0.3387697,0.19369924,-0.78610444,-0.46768808,0.31257266,-0.6908306,-0.36393458,-0.24197316,-0.27721247,-0.65454304,-0.40312958,0.63583463,-0.09422673,0.5843696,0.5415065,-0.06434017,-1.0019652,0.00045984983,0.8975754,0.41048604,-0.8113544,0.37929142,-0.5181369,-0.447065,0.00936427,0.2822651,0.41098553,0.11420227,0.49341345,0.46468955,-0.025255032,0.25153393,0.29623425,0.26562548,-0.052994236,-0.40847364,-0.6504519,0.5164169,-0.41934842,-0.07423508,0.377322,-0.17484607,-0.26938647,-0.4074033,0.097593635,0.74848485,0.19523768,0.07727834,-0.020322323,0.030057147,-0.1924267,-0.23793055,0.12559643
h.nakamura,1,0,1.3331543,-2.1564257,0.33750397,1.5069928,-0.7069458,-1.1603302,2.6443553,0.04949154,0.2514377,0.09344234,1.581297,2.184169,0.9341538,-0.51280123,0.6911105,1.1440724,0.23466226,1.644221,-0.75113106,0.41375962,1.1098294,-0.8274323,1.5471553,0.29698598,-0.254189,0.7753855,0.23188022,-0.4160742,0.42166644,0.78477925,-1.8443851,-0.7195847,-1.7456319,-0.73889804,0.3552585,-0.5773336,0.46385878,-0.35303402,1.0552025,0.00817195,-0.3842431,-0.89466375,-0.011392815,-1.6324173,0.84127134,0.0039148554,-0.8897677,0.59431,0.22571772,0.8689134,-0.67872405,0.18878642,-0.83328366,0.6745404,0.029344708,-0.14209554,-0.33156285,-0.42432955,0.55500853,0.01095669,0.6166016,-0.4795824,0.61536753,0.34282017,0.12539169,-0.5463925,-0.8308984,0.35105163,-0.3542496,0.44795948,0.106941655,0.3862458,0.37283164,0.4109968,0.091529235,-0.29395992,1.5730765,0.10896026,0.46141008,-0.27220684,-0.1159997,-0.56473887,-0.06608712,-0.6142302,-0.31644624,-0.14968123,1.1994029,0.19842175,0.66307783,-0.08027809,0.23916739,0.99844575,0.5654901,-0.085931435,0.6112585,0.11754248,0.02266094,-0.16632639,0.2463934,0.56757134,0.11214268,-0.37519234,0.2794938,-0.37890014,-0.034235016,0.0985443,0.20210952,-0.42356837,0.66065437,-0.22079268,-0.28913546,-0.32237065
h.nakamura,1,0,0.0035302192,0.83407056,0.17200612,-1.3384289,1.6936553,-0.81710035,0.5852022,-1.1901095,-0.11453682,2.2330294,0.04750464,0.31329578,-0.0618809,0.96413946,-0.14016679,-1.2027471,0.160308,-1.4735467,0.90271187,-0.6878275,-0.018622845,-0.25904673,0.70102453,-0.052964702,0.20935164,0.8278634,1.3729565,-0.19481026,0.7685885,0.797104,0.040495634,0.10059154,-0.50256693,-0.16024561,-0.049863487,-0.15601397,1.7580702,0.8989618,0.8212485,-0.585703,-1.2796353,0.91971856,-1.2983851,-1.0725856,-0.002270162,0.6331249,1.700892,1.0419879,0.010597121,0.42404842,0.14718074,0.6710227,-0.36808664,0.274561,-0.10715048,0.34501886,1.2583798,0.06667395,0.7651007,0.4696632,0.18481475,-0.16374479,-0.06226506,0.30412853,0.32358253,-0.18640848,0.16981141,-0.061747715,-0.34186888,0.036408316,0.48143744,0.20053983,-0.11662571,-0.42694187,-0.28613287,-0.46376485,0.37222645,0.31968933,0.26353735,-0.23598754,-0.23436604,-0.055707544,-0.8857543,0.33634543,0.4468574,-0.28970432,-0.13796723,0.2047245,-0.39140487,-0.12627295,-0.5954664,1.0830141,0.28391182,0.041484565,0.3463832,0.6411798,-0.3642169,-0.41753733,-0.18701625,-0.43313122,0.11120752,-0.4538816,0.29531133,-0.10550808,0.5527724,-0.18289676,-0.4049848,0.48349524,-0.58141553,0.4197026,0.39977807,-0.29388383
