subject_id,is_expert,batch_idx,z_style_dim0,z_style_dim1,z_style_dim2,z_style_dim3,z_skill_dim0,z_skill_dim1,z_skill_dim2,z_skill_dim3,z_skill_dim4,z_skill_dim5,z_skill_dim6,z_skill_dim7,z_primitive_dim0,z_primitive_dim1,z_primitive_dim2,z_primitive_dim3,z_primitive_dim4,z_primitive_dim5,z_primitive_dim6,z_primitive_dim7,z_primitive_dim8,z_primitive_dim9,z_primitive_dim10,z_primitive_dim11,z_primitive_dim12,z_primitive_dim13,z_primitive_dim14,z_primitive_dim15
h.nakamura,1,0,-0.2477046,-1.8210423,-0.30309147,-0.7920568,0.24510741,1.3916395,-1.2543154,-0.016914085,1.3182532,-0.35530213,1.3268574,-0.13421008,-0.4882172,-0.051138513,-0.32523906,-0.6137446,-0.55335623,-0.060013805,-0.10439657,-0.024419293,0.102399975,1.0860679,-0.1103248,0.18149638,0.46477073,-0.47098643,-0.60518205,0.05361913
h.nakamura,1,0,0.8284891,0.9164034,0.28268182,-0.23916888,-0.91808105,0.5965432,-1.9538262,0.4831576,0.8754912,1.0707549,-0.114030115,-1.9556142,-0.07138919,-0.3116055,0.07075466,0.8555652,0.41063645,-0.27926987,-0.108358026,0.13942392,0.10872242,-0.48921877,-0.044387687,-0.15290871,0.08852447,0.022425657,0.21234159,-0.17348705
h.nakamura,1,0,0.60265875,-0.5446586,0.71144074,-0.08507769,-0.8033988,0.15992272,-1.2451881,-0.8794636,-0.77540106,1.0454015,0.81634164,-0.9780157,0.2819138,-0.1831047,0.6953294,-0.40500614,-0.10621613,-0.1761421,-0.26594397,0.6081027,-0.014750257,0.183499,-0.39746526,-0.061941326,-0.44911802,-0.16818812,0.19191815,0.2894407
h.nakamura,1,0,0.275286,-1.8750815,-0.12216875,1.6105025,1.1850936,1.4010966,-0.30293533,0.018581055,0.0063175783,-0.87027276,-0.88122165,-0.5743501,-0.078950346,-0.08280665,-0.16314708,-0.028955389,0.4217222,-0.42580706,-0.24490605,0.27035397,-0.5501361,0.21820532,0.22018352,0.20258191,0.9512983,0.33994454,0.5603813,0.3922348
h.nakamura,1,0,0.25842372,-0.37222928,1.1791294,0.6171658,-0.78608596,-1.3749398,-0.37797427,-0.48128965,-0.23634766,-1.6034786,1.1306279,-0.7821024,0.24564248,0.29612923,-0.07797998,-0.5437444,-0.12153238,-0.36978412,-0.119786374,0.074969836,-0.73246497,0.04686439,-0.61973107,-0.7865995,-0.006292453,0.31915826,-0.1986485,0.24257788
h.nakamura,1,0,0.9794198,-0.5594148,-1.7070637,0.80306685,1.4653555,0.3598472,1.4783969,0.835525,-1.0698965,1.997937,-0.15995988,-0.18998665,0.13006222,-0.52153313,0.115073025,0.031128865,0.1327283,0.13187237,-0.83617556,0.5912054,-0.6018115,-0.20293099,-0.08306229,0.41062772,0.2562897,-0.25086278,-0.69560474,0.20120513
h.nakamura,1,0,0.36003056,1.6271454,0.9812355,-0.37677604,-0.56653976,0.9698321,-0.8117511,1.1641932,1.3553249,-0.35109884,-0.14684168,-0.7369408,-0.11173167,0.16316284,-0.58306134,0.024264127,0.03807715,-0.27211058,-0.07789088,0.727042,0.2032666,-0.01589713,0.0016313344,-0.6025834,-0.77447397,0.25739193,0.17190741,-0.103548035
h.nakamura,1,0,0.977822,0.8557003,0.22651592,-0.6338191,-0.88423115,0.12163814,0.75678945,-1.3377259,0.6358608,-0.5759607,-0.859619,-0.8454271,0.40413457,0.3758541,-0.028192967,0.24408048,-0.048664123,-1.5446534,0.12703961,0.12210242,0.13743286,-0.3401472,-0.43286717,0.20649633,-0.3979169,-0.98243695,-0.6888498,0.7993425
h.nakamura,1,0,1.3109002,-0.6110878,1.1918743,0.46518335,-0.101835325,0.60092986,0.048773892,0.3640573,0.112554386,-0.41406447,-0.96562433,0.9419341,0.17020954,-0.15219116,0.2543805,0.18068327,0.31551293,0.09677343,0.082523055,0.50388956,-0.16921952,0.2568337,0.45987472,0.47091016,0.20096338,-0.27476946,-0.67150646,0.3876488
h.nakamura,1,0,0.2668597,-2.3235388,-0.063515514,-0.99646366,0.23246534,-1.5940983,0.13508952,0.55635715,-0.7606855,-0.31444398,2.556261,-0.12738656,0.061684918,-0.6723934,-0.17789394,-0.35955372,0.70092326,0.028088555,-0.49522534,0.7101922,-0.1577301,0.083447024,-0.491853,-0.060241133,-0.24785933,0.78687763,0.36365342,-0.3116308
h.nakamura,1,0,0.047443315,0.30244148,-0.055739567,-0.8805905,0.64888954,-1.1207384,0.14789149,0.013811395,-1.0274088,-1.0579321,0.52762485,0.10232005,-0.91971296,0.18297578,0.86468065,0.059787452,0.31935775,-0.20875093,-0.23099348,0.570883,-0.1575684,-0.41159528,-0.31744805,0.22042863,-0.45817047,0.017134052,-0.38670024,0.13015054
