subject_id,is_expert,batch_idx,z_style_dim0,z_style_dim1,z_style_dim2,z_style_dim3,z_style_dim4,z_style_dim5,z_style_dim6,z_style_dim7,z_skill_dim0,z_skill_dim1,z_skill_dim2,z_skill_dim3,z_skill_dim4,z_skill_dim5,z_skill_dim6,z_skill_dim7,z_skill_dim8,z_skill_dim9,z_skill_dim10,z_skill_dim11,z_skill_dim12,z_skill_dim13,z_skill_dim14,z_skill_dim15,z_primitive_dim0,z_primitive_dim1,z_primitive_dim2,z_primitive_dim3,z_primitive_dim4,z_primitive_dim5,z_primitive_dim6,z_primitive_dim7,z_primitive_dim8,z_primitive_dim9,z_primitive_dim10,z_primitive_dim11,z_primitive_dim12,z_primitive_dim13,z_primitive_dim14,z_primitive_dim15,z_primitive_dim16,z_primitive_dim17,z_primitive_dim18,z_primitive_dim19,z_primitive_dim20,z_primitive_dim21,z_primitive_dim22,z_primitive_dim23,z_primitive_dim24,z_primitive_dim25,z_primitive_dim26,z_primitive_dim27,z_primitive_dim28,z_primitive_dim29,z_primitive_dim30,z_primitive_dim31
h.nakamura,1,0,1.0321264,-0.9387375,-0.4552738,-0.70116806,-1.3247824,0.14894724,-0.8872111,0.53701043,0.57830405,0.93084794,0.84650725,-0.30252397,0.78274184,-0.062492132,-2.175034,-0.51257986,1.058163,-1.529369,-1.0283931,0.62834114,0.3920762,-0.22298369,-0.18981922,-0.45840085,0.7183411,-0.7421862,-0.6788385,-0.11678317,0.118222244,-0.0011663586,-0.9785251,-0.52511215,-0.16591612,0.003924623,0.713634,0.29845726,0.37527794,-0.4748443,-0.02135184,0.36546707,0.5069535,0.87220645,0.15339018,0.15574303,-0.40924338,0.49435347,0.22212829,-0.7160896,0.5728121,-0.21114507,0.3615362,-0.14080092,-0.25316474,0.4543442,0.85847783,0.5225353
h.nakamura,1,0,-0.38181216,-0.9639007,-1.5182991,2.5023162,0.35414377,-0.026470732,2.2344253,-0.62412655,0.1599665,0.3894642,0.08367722,-0.6904677,0.31974757,0.5711002,-0.0784633,-1.7961218,-0.25123188,0.8172908,-0.40947396,1.851281,-0.44183058,0.64714986,0.79197043,-0.9974773,-0.55561304,-0.08952144,0.03203495,-0.4721861,-0.15262076,-0.16431113,0.63186586,0.14971893,0.0923977,-0.010448091,0.5049577,0.09514859,-0.20901005,0.015940309,0.2914661,0.37075838,-0.36565062,-0.14748216,0.3437846,-0.5638043,0.01618521,-0.7516069,0.2716726,0.3387391,-0.39784378,1.4605434,-0.43982986,-0.30415457,-0.6983931,0.67263645,0.37926352,-0.32073656
h.nakamura,1,0,2.0895872,0.6253187,1.7203299,1.596488,-2.1715689,-0.060410455,0.51207095,0.36542767,0.0590809,-0.025475793,-0.28676984,-3.2132075,-1.222731,0.38376945,0.9720142,-0.4829444,0.17313576,-0.07482909,0.014979685,-0.6806855,1.6578343,0.4533558,-0.51095986,-0.35082528,0.7767625,0.08090876,-0.3295657,0.025781572,-0.389275,-0.07986917,-0.46600604,0.4941303,-0.13337928,0.38424754,-0.81310624,0.4464127,0.41512522,-0.119702086,-0.4035707,0.19002694,-0.38600048,0.5169983,0.33819222,-1.1668562,-0.4410419,0.23943348,0.5867076,-0.008537419,0.06232527,-0.43287992,-0.05366862,-0.6730548,-0.5602399,-0.25304407,0.25971437,-0.17617494
h.nakamura,1,0,0.95638955,-0.7775534,0.883968,-1.5309341,-0.6907139,0.26431203,0.88663733,1.742021,-0.71636295,0.8414441,1.38343,-1.0670716,2.0138528,-0.11385717,-0.58370405,0.0087232515,-0.0061446354,-0.6444887,-0.14832681,-0.13157393,2.7232676,0.107103616,0.31606525,-0.80185634,-0.08708277,-0.20184658,-0.09165119,-0.32179117,0.26909158,-0.29295087,-0.059532903,-0.78543484,0.41777092,0.59175634,-0.3318211,0.049245305,-0.60371804,0.023885392,0.41540885,-0.44228214,0.17679822,0.13654852,0.34702688,0.22680464,0.29895002,0.38529262,0.937595,-0.518204,0.19407177,-0.13462222,0.24785045,-0.20900714,-0.08098008,0.4477674,-0.36330238,-0.47384363
h.nakamura,1,0,-1.1853228,-0.36903867,-0.74009174,-0.1624775,-0.5477292,-1.595061,0.58838755,1.2274803,-0.49970898,-0.59663683,-1.0651559,-0.17706901,-0.67876273,1.764505,1.4481876,-0.69309586,-0.46368438,-0.48847774,1.3030214,1.1546748,-0.7141313,-0.50137985,-1.0298723,-0.18241195,0.16897337,-0.059970804,-0.6770697,-0.09936935,0.04801085,-0.979195,0.0046337694,0.8744793,0.037726805,0.38284606,0.45796502,-0.14378826,-0.4773106,0.025639225,0.44618213,0.39431804,-0.52290726,-0.09367894,0.4656186,-1.0684184,0.040401086,-0.2950589,0.46436194,-0.49709624,0.70201486,0.09902783,-0.18120542,0.9677184,0.18025641,-0.06498996,0.8306333,-0.7184149
h.nakamura,1,0,-1.2134221,-1.1675358,1.4183741,1.1345011,-1.6273488,0.056853667,-0.00426469,1.3682376,-0.9967602,0.1996203,-0.07659124,-1.2334571,-0.6534456,-0.19433638,0.731635,1.1353045,1.5320671,-0.17943704,1.2831463,-0.15806718,-1.5117505,-0.37686682,-0.8777346,-0.21430135,-0.6723338,-0.47261575,-0.49230155,-1.2126842,-0.9192547,-0.14201948,-0.2600454,-0.16545036,0.27251756,-0.43140987,-0.5486827,0.10815072,-0.05080726,-0.30650854,0.11623517,0.45247898,0.24785705,-0.3293784,-0.17095372,0.19965488,-0.032976523,0.61980027,0.76354504,-0.4855681,0.12833484,0.2947931,-0.10881233,-0.21009658,-0.62427396,-0.091426566,0.30235228,0.4677667
h.nakamura,1,0,-0.2608589,1.8682816,0.19753166,2.3660998,1.5160699,-1.0587311,0.8754688,-1.120554,-0.50491625,-1.0189116,-0.6498545,1.2613155,0.05158584,-0.20929277,1.4859743,0.8426593,-0.62743187,-1.0404572,-0.2281656,-1.8620116,0.41752437,-1.3668454,-1.8790731,-0.026603138,-0.4511569,-0.35643187,-0.5827124,0.39423585,-0.25168496,-0.08857605,-0.65277576,0.22480267,0.2511758,-0.4440621,0.20977046,0.06025073,-0.26428694,0.4243068,-0.058909778,-0.27979982,-0.10830726,0.38428366,-0.12210482,-0.28990564,0.75511557,0.40190297,-0.16478047,0.1290153,-0.6518054,0.5475489,-0.4006295,-0.2864381,-0.42520967,-0.1683082,-0.1874421,0.14110248
h.nakamura,1,0,1.5796041,0.3748815,0.86398757,0.19211303,-1.3730674,0.92928326,1.122528,-0.08147532,-1.0504065,0.35384285,0.11095613,-0.12202519,2.8164923,0.52519107,0.6876763,-0.80855215,-0.6810087,-0.1902456,0.4129501,-0.12060016,1.3398912,-1.008235,-0.25687882,-0.70027816,0.27372175,0.7747052,-0.35163906,0.021549076,0.24997067,-0.46866512,0.47769904,0.7622732,-0.2949601,-0.4391176,1.1234682,-0.09424649,0.006969847,0.3514003,0.4187414,0.5755268,0.32901445,-0.1501652,0.38534963,0.0107025355,0.3732072,-0.3875237,0.10765034,0.37027287,0.01853387,-0.05556324,-0.23566346,0.2751405,-0.5586909,1.1956086,-1.0068539,-0.2781092
h.nakamura,1,0,0.35858083,-0.74475586,0.8146795,-1.052926,-0.20876823,0.042256728,-0.70655453,-1.3035547,1.494308,1.0388278,0.5010314,2.751744,0.849018,-0.9803382,-1.169167,-1.4119583,-0.14296192,-0.0305859,-0.006567795,0.68116236,0.21854883,0.70431185,-0.56417155,1.0605881,0.5356848,0.08328514,0.03247118,-0.07067552,-0.30903718,-0.38686958,0.44923478,0.645569,-0.19426244,0.31085205,0.30464467,0.79974324,-0.07502161,0.078245394,1.0119572,-0.02368997,-0.28485078,-0.2880504,0.55834293,0.13615827,0.056012906,0.00794946,0.033379123,0.23156928,0.18834879,-0.11048648,-0.06268441,0.34142682,0.031807974,-0.37672478,-0.022621453,0.75121593
h.nakamura,1,0,-0.5482707,-0.5546628,-1.4462531,-0.23518407,-2.190256,1.1879961,-1.7454449,-1.0025557,-0.12538013,-1.6965297,0.88633496,-0.22798015,0.10336061,2.1887279,-1.0328538,-0.88348454,-0.9557515,0.46641365,0.84151983,0.173846,1.2047302,-0.90843093,-0.037143953,-1.5157708,0.36073375,0.15598875,0.022935048,-0.09876354,0.0120668635,-0.042256847,-0.3522722,0.029114395,-0.19079745,-0.16460268,0.06833275,0.26127845,0.16512649,0.16344555,-0.046349075,-0.30513278,-0.057989538,-0.20792341,0.5973135,-0.5622543,0.0959739,0.284734,-0.053808987,0.7324232,0.6533266,0.96649706,-0.724018,-0.03512181,-0.30407757,0.20281625,0.50803787,0.4623918
