subject_id,is_expert,batch_idx,z_style_dim0,z_style_dim1,z_style_dim2,z_style_dim3,z_style_dim4,z_style_dim5,z_style_dim6,z_style_dim7,z_style_dim8,z_style_dim9,z_style_dim10,z_style_dim11,z_style_dim12,z_style_dim13,z_style_dim14,z_style_dim15,z_skill_dim0,z_skill_dim1,z_skill_dim2,z_skill_dim3,z_skill_dim4,z_skill_dim5,z_skill_dim6,z_skill_dim7,z_skill_dim8,z_skill_dim9,z_skill_dim10,z_skill_dim11,z_skill_dim12,z_skill_dim13,z_skill_dim14,z_skill_dim15,z_skill_dim16,z_skill_dim17,z_skill_dim18,z_skill_dim19,z_skill_dim20,z_skill_dim21,z_skill_dim22,z_skill_dim23,z_skill_dim24,z_skill_dim25,z_skill_dim26,z_skill_dim27,z_skill_dim28,z_skill_dim29,z_skill_dim30,z_skill_dim31,z_primitive_dim0,z_primitive_dim1,z_primitive_dim2,z_primitive_dim3,z_primitive_dim4,z_primitive_dim5,z_primitive_dim6,z_primitive_dim7,z_primitive_dim8,z_primitive_dim9,z_primitive_dim10,z_primitive_dim11,z_primitive_dim12,z_primitive_dim13,z_primitive_dim14,z_primitive_dim15,z_primitive_dim16,z_primitive_dim17,z_primitive_dim18,z_primitive_dim19,z_primitive_dim20,z_primitive_dim21,z_primitive_dim22,z_primitive_dim23,z_primitive_dim24,z_primitive_dim25,z_primitive_dim26,z_primitive_dim27,z_primitive_dim28,z_primitive_dim29,z_primitive_dim30,z_primitive_dim31,z_primitive_dim32,z_primitive_dim33,z_primitive_dim34,z_primitive_dim35,z_primitive_dim36,z_primitive_dim37,z_primitive_dim38,z_primitive_dim39,z_primitive_dim40,z_primitive_dim41,z_primitive_dim42,z_primitive_dim43,z_primitive_dim44,z_primitive_dim45,z_primitive_dim46,z_primitive_dim47,z_primitive_dim48,z_primitive_dim49,z_primitive_dim50,z_primitive_dim51,z_primitive_dim52,z_primitive_dim53,z_primitive_dim54,z_primitive_dim55,z_primitive_dim56,z_primitive_dim57,z_primitive_dim58,z_primitive_dim59,z_primitive_dim60,z_primitive_dim61,z_primitive_dim62,z_primitive_dim63
r.yanase,1,0,-0.12697521,-0.98141813,1.9674941,-1.1042343,0.015573051,-0.012437232,-0.96917063,0.29057318,2.8845582,-1.3292307,-0.039946955,0.3149517,-1.403748,-0.14730448,-0.06029583,-0.27203017,0.15705462,1.3313987,0.47828245,0.49495685,-0.084561,0.49259096,-0.3868471,0.14056396,-0.30904132,0.6810101,-0.46381634,-1.7085623,0.525245,-1.0912101,0.21307036,-0.43816268,0.6756228,0.2886693,0.7324021,-0.86235803,-0.27728134,-1.5579319,2.3543963,1.6384544,0.75049365,-1.8538263,-0.03925681,-0.6097609,0.16406459,0.9354924,-0.7994383,-0.69424826,-0.30182812,0.018533453,-0.09609056,-0.16593689,0.7281088,0.63205445,0.0087604495,0.66402596,0.93981403,0.23218,-0.29730192,-0.7649748,0.48314187,-0.31259978,-0.29489067,-0.020224676,0.0807979,0.031096928,0.7247099,-0.034472007,-0.11847772,0.0063923616,0.073274784,-0.110852495,0.53488916,0.30016014,-0.030285042,0.16392373,0.10580257,-0.0057587028,-0.21547197,0.0437318,-0.6003618,-0.04765005,-0.06945963,-0.091205284,-0.30902478,0.23278587,0.10207586,0.57786125,-0.32223216,0.27206412,-0.29667792,-0.22631027,0.043171518,0.12852785,-0.10060766,-0.73195106,0.12409081,-0.2559499,0.056332834,0.74194705,-0.18194348,-0.12119382,-0.05268151,0.42673022,0.19933753,0.03216549,-0.25605267,-0.2925778,-0.09772557,-0.3295574,0.13196516,0.06893357
t.hasegawa,1,0,-0.80461943,0.8719131,0.07941851,0.66999733,-0.18903376,-0.7220563,-2.3287184,-0.69642305,-0.7046089,-0.05259624,-1.3461189,0.0976221,0.8751073,0.012026187,2.2266672,-0.2554834,0.13640404,-0.1085126,-2.224081,0.5181803,0.5530928,0.14655851,-2.182385,0.3711744,-0.18637493,0.9255724,-0.29315335,0.35456595,-0.36735114,1.0963554,0.41505408,-0.8725277,-1.016841,-0.77017987,-0.031406537,1.5908893,-0.8839185,0.85353005,-0.42399782,-0.1412668,0.35867715,1.2878644,-0.64459884,-1.101124,-0.1866433,-0.47191826,0.27461997,0.26352698,-0.04873813,0.37565133,-0.40719882,-0.14776343,-0.1748452,-0.12482339,0.12860127,-0.23138456,0.05773605,0.21080618,-0.13380095,-0.25790247,0.29248413,-0.08111045,0.08039029,-0.28122127,-0.15343772,-0.061340757,0.38220108,0.11325228,0.1765897,-0.12860493,0.45581234,-0.13142923,-0.31259,-0.75042814,0.10179192,-0.15135507,0.014294647,-0.28130534,0.17732099,-0.03296864,0.026196662,0.09918593,-0.19931701,0.028774936,-0.014890209,-0.046620034,-0.24003981,-0.031761914,-0.25245357,-0.22777508,-0.4219073,0.17088135,-0.25644362,0.04844661,0.39004627,-0.4152917,0.11947242,-0.25347388,0.18158147,0.03238199,0.007848595,0.2166673,0.3694658,-0.35044232,-0.06154873,0.059287358,0.10893768,-0.13102943,-0.37642527,-0.33158678,0.666126,-0.22831506
s.tahara,0,0,0.18455009,-0.20123897,1.7847834,0.94638324,0.35602197,0.6404568,0.4666074,0.0261061,-2.4706743,-0.12610906,0.6507691,-0.5535946,-0.3602683,-0.528397,-0.8253421,-0.3722088,-0.50432366,-1.0395768,0.36253917,-0.89650816,0.9298607,-0.17658652,0.7654233,-1.1307015,-1.6818173,0.69173837,0.9175615,-0.077158235,0.8949892,1.2217772,-0.14274353,-0.010479957,0.9311036,0.77579087,1.258065,-2.4388697,-0.10001834,-0.49675307,0.5868758,-0.27400342,1.308887,-1.6132514,-0.8906102,0.28074837,1.25908,-0.2014324,0.6563763,-1.2491133,-0.123520344,-0.2020513,-0.23084038,0.3441973,-0.31470534,0.45018604,-0.12179394,0.27316624,0.29183677,0.09136367,0.43576306,-0.30654633,0.28970227,0.9405506,0.51478684,-0.13794263,0.22281428,0.22683342,0.29915524,0.5102641,-0.27150458,-0.38121065,-0.06485961,0.15125419,0.6892686,-0.40232003,0.13243419,-0.13483669,0.13898943,-0.06752117,-0.0064462833,0.12800178,-0.3621923,-0.14020754,-0.26277128,0.14902127,-0.17028378,0.22085816,-0.089567035,0.43033257,-0.012880463,0.45339507,0.31156266,0.460807,-0.6047133,0.18826017,-0.03604756,0.030848496,0.10889822,-0.15748708,0.388147,-0.37438887,0.8377575,-0.423455,-0.035793398,0.3225679,0.0473827,0.06643386,0.31131178,-0.04118836,-0.32137233,0.212668,0.083160296,0.3603276
r.yanase,1,0,0.2814626,-0.40987077,-1.0404904,0.37695733,0.23273186,0.20661624,0.30177304,-0.13000116,0.40630013,-0.09619041,-0.17613667,1.827077,-0.8499747,-0.1867665,0.15645143,-0.0419047,0.4255707,0.3524422,-0.051404264,-1.1225733,-0.22686034,1.0702001,-1.5213575,0.90684897,1.0252542,1.0791965,-0.5107523,0.7088071,-1.1883776,-0.4244048,-0.65589446,-1.0054941,1.2732811,0.57301337,1.0438936,0.09203194,0.9870898,-0.27251396,-1.2259125,0.34176815,-0.1364752,-1.1298981,1.7144958,-0.7403649,0.80909806,-0.5552224,1.0690676,-0.12547061,0.09407881,0.16966142,-0.13055357,-0.42046934,-0.04497698,-0.20910029,-0.5577201,-0.24822542,-0.13288955,0.06413502,-0.6119018,0.24720609,0.21599025,0.32515275,0.07662221,0.23845571,-0.9176842,-0.010169329,-0.093204185,-0.20374453,-0.119569734,0.6016878,-0.50130904,-0.053923286,0.27083653,-0.46471834,0.23106314,-0.285704,0.02061706,-0.27274173,-0.23108561,-0.025135482,-0.099195644,0.10718137,-0.0028966023,0.06944485,-0.4379851,-0.01872919,0.38966066,-0.043644946,-0.45717713,-0.19222623,-0.09497008,-0.18932958,0.39279386,-0.17600502,0.5735314,-0.40395078,-0.4029878,-0.29880252,0.5217802,-0.3042003,-0.34511617,0.31088474,-0.029336829,-0.35276338,-0.24766673,-0.49823081,0.20062485,0.51353246,-0.48089933,0.23078112,0.0010149069,-0.1996443
s.tahara,0,0,-1.2818472,0.861429,-0.8794589,0.19407035,2.292969,1.1612229,0.043226942,1.6983806,0.47139215,0.63305813,-1.71722,-0.05003685,0.23265325,0.6119231,-1.1565188,0.7235827,1.9344926,-1.8217186,0.69711024,0.014580298,0.40758973,-0.24623646,-2.5708728,-0.10268539,-1.5976301,0.018789664,-1.6280081,0.9146599,1.9156239,0.7545731,-0.54955053,-0.6910831,-0.21527827,-0.48435706,0.6752422,0.10456315,-0.768878,1.6729876,-0.26195365,0.4668548,-0.8632518,-1.6636719,-0.689479,0.1923463,-0.38319886,1.4535165,1.2805567,-2.2956736,-0.21702322,-0.43180367,0.0014351252,0.3320975,0.21858975,-0.20280826,0.21124053,0.041162487,-0.20735456,-0.12363733,0.19420663,0.17711028,-0.16483389,0.38854772,0.005811151,0.26567125,-0.27988705,-0.5260912,0.13647895,-0.03470168,-0.065437794,-0.052147865,0.14553946,0.008661613,-0.24271215,0.041833103,1.003397,0.16302797,0.16704105,0.16474316,-0.3454251,-0.11444749,-0.10498507,-0.24795139,-0.032003187,0.4018471,-0.15577343,0.2126435,0.36249453,0.024351249,-0.08498973,-0.24537319,-0.2884226,0.17623357,-0.20197755,-0.3639756,0.21629237,0.15674902,-0.2874162,0.115226716,0.16084881,0.06374116,0.4803372,0.29727402,-0.17517203,0.15291893,-0.1597275,-0.4941744,0.10681498,-0.13571009,-0.13688666,0.21171525,-0.13158187,0.045948274
r.yanase,1,0,-1.5290687,-0.31874242,-0.26547188,-0.5396137,-1.7832729,1.8057002,0.82538503,0.27654928,0.35623822,0.6555466,-1.0134954,-0.61604565,0.27381605,0.16113865,-0.23090002,-1.3229907,-0.7064966,-0.10616094,-2.0802858,0.34915498,0.23608193,0.13689014,-0.06924134,-0.005304873,-1.4540651,-0.4615198,0.44848147,-0.8064848,-0.14263481,1.4292597,-0.7964642,-0.7908698,1.1272352,0.2317687,-0.6325505,-0.77307844,-1.3677793,0.23204172,0.9326105,-0.8247914,-0.20053704,0.55693704,-0.64290345,0.48154876,1.9161825,0.19281258,-0.15471715,1.7230756,0.46947557,-0.4786391,0.07580701,-0.03025844,0.01649459,0.261061,0.8827192,0.059990212,0.041051958,0.057974245,0.030310541,-0.2924825,-0.18039761,-0.054332692,-0.47543076,-0.19843368,-0.23637383,0.2127156,-0.1775722,-0.17515297,0.08586505,-0.03576278,0.12576574,-0.05153834,0.13019922,-0.39950946,-0.5133343,0.28511894,0.58268386,0.20330393,0.27423406,-0.1010863,0.23191947,-0.24585098,0.07708155,-0.22840923,0.21297728,0.386238,-0.13101444,0.08032941,0.26721594,0.018785749,0.0077874158,-0.1141499,-0.040592678,0.30676463,0.3284343,-0.22115372,0.14377426,-0.251708,-0.11679351,0.25496924,0.3674365,0.41155517,-0.49707106,0.4842012,-0.6440696,0.09884163,-0.38498706,-0.41197747,0.68165827,-0.010226816,0.006935727,-0.033081643
t.hasegawa,1,0,0.43069047,2.807115,0.5007285,-0.07336664,-0.18899795,-1.3164523,-0.6141243,0.80761594,1.1457486,1.2764722,0.42548704,-0.33124846,-0.87857926,0.25852665,-1.6365252,1.926405,1.0071815,-0.20790938,-0.22577569,-1.33045,0.4511209,0.1334972,0.6092756,-1.2693585,1.0532131,-1.1510019,0.12605253,-0.28181592,0.06528266,1.1274064,0.8174526,0.96998084,-1.6681007,-0.7849606,-0.045288622,-0.3035718,0.0212588,-0.94924843,-0.8898748,-0.8058483,1.7482706,-1.053935,0.6585516,0.40130493,0.24094313,-0.7818779,-2.6565633,1.0875347,0.12754865,0.67755705,-0.071102545,0.16015574,-0.076527305,-0.09053674,0.010839782,0.0057977038,0.05886453,0.5979651,0.15017375,0.06372767,0.66664755,-0.107327774,-0.5019057,-0.36818832,-0.59846634,-0.080210686,-0.5675258,0.80199474,-0.03042933,0.6042209,0.50050855,-0.10860421,-0.25333333,-0.24331187,-0.04013034,-0.46567324,0.2830567,0.27133018,0.48200744,-0.22919862,0.035776332,-0.002650192,0.028448848,0.035468306,0.15564194,0.8689863,0.15724377,-0.20077536,0.1535215,-0.08276041,-0.071571544,-0.44213507,0.10296128,0.4195867,0.550076,0.027426554,0.103741564,-0.06861874,-0.15913181,0.14482103,-0.0028860527,0.062442105,0.33957797,-0.017228112,-0.27600017,0.09652169,0.46728408,0.031668182,-0.03520553,0.0018963469,0.06203351,-0.17732458
t.hasegawa,1,0,-0.49607348,-0.24143656,-0.89915997,-1.236969,-0.99841493,-0.21056594,1.36783,1.7392268,1.0124538,-0.29672328,0.35441744,-2.9831097,-0.92379105,-1.1734085,-1.3530022,-1.0592842,-0.15242775,-1.4280576,-0.050150096,-2.1702216,-0.35445517,-0.3384541,-0.9623019,-0.2999279,1.7376806,0.85886717,-0.3680226,0.3473389,-0.47491685,0.28183383,-0.44437316,0.57115495,1.004656,1.7247016,0.9600283,-0.58183604,1.5934527,-1.1929919,-0.0019290037,-0.6491407,0.8686478,-1.1609602,-0.41097134,0.16183722,-0.020521343,1.4079987,1.0046394,0.44899705,-0.2771752,-0.23632157,-0.51809007,0.32771462,-0.29858866,0.2668104,-0.35488203,0.14884885,-0.10861415,-0.06529934,-0.19916368,-0.21571267,-0.35123798,0.23017645,0.07233059,-0.18361151,0.17908233,-0.0859483,0.21081884,0.29943493,0.047780123,-0.24044926,-0.49239781,-0.25605926,0.051300824,-0.19421086,0.18394795,0.18635122,-0.0050869808,-0.22249305,0.25924486,-0.21472704,-0.28831375,0.3447777,0.22489047,0.23561403,-0.24667053,-0.0697445,0.132125,0.20134184,-0.08776668,0.4141736,0.08443545,0.22919534,-0.276284,-0.14461152,0.08278074,-0.35227853,0.20303966,-0.092718646,-0.21142997,0.30302608,0.16423996,-0.04426416,-0.14428829,0.3594691,-0.05512687,-0.17381524,0.06479997,0.6447045,0.22147398,0.23382208,-0.2787648,-0.111220986
t.hasegawa,1,0,2.2459164,1.8289018,0.22425438,0.8181289,-1.2780163,0.3331369,2.577301,1.4360505,-1.8250535,0.0049005263,0.41475168,1.3706434,1.4748788,0.34733576,-2.08121,-0.92391396,-1.22234,0.6839693,0.5889705,0.08943406,-1.6610153,1.0556414,-0.6323732,0.581563,0.5763003,-0.48952493,0.22483394,0.07660959,0.23953325,2.0555103,-0.16911133,-0.76935136,1.7260523,-1.446547,2.0605526,-1.1927862,-1.4512702,0.46590504,-0.44220665,-0.27683347,0.0907009,0.2969089,-1.5507966,0.24988422,1.3247975,-0.8769194,-0.84171665,-0.7379025,-0.39643446,-0.1678489,0.28939575,0.26147637,-0.10905242,0.16274388,0.10005097,-0.28704947,0.25408503,0.22029386,-0.949172,-0.28322154,-0.34732234,0.1692737,-0.2519934,-0.27904332,-0.2114314,0.55136573,-0.1937711,-0.10808523,0.20731738,0.024573356,-0.42254016,-0.41960245,0.08149476,0.2718246,-0.4674635,0.14756195,-0.19668648,-0.21550211,0.12864247,-0.10353254,0.5120183,0.016568154,-0.5634996,-0.24599722,0.23885334,0.38785332,0.28596932,-0.06909631,0.2544238,-0.22575095,0.5391822,-0.16160053,-0.5644796,0.25758594,-0.3064464,-0.15951598,0.14355625,-0.06301435,0.054101724,-0.60330963,0.32925114,-0.12326318,-0.25111505,-0.18266782,-0.30893013,-0.023577806,0.21148966,0.22078428,-0.3502569,-0.009672892,0.31775272,-0.28356963
s.tahara,0,0,-0.92002225,-0.65383023,-0.017883457,0.94752425,-1.6221287,0.8891056,0.116144165,1.063567,1.3687654,1.4239601,-0.8706422,-1.1633155,-1.5751797,0.31870726,-1.3654996,0.87589127,1.274086,-0.21576256,-1.9156308,1.3172753,0.96936595,-1.2590985,0.5918559,-0.88469666,-0.35437623,0.094009295,-0.16111067,-0.72468865,1.2891668,-1.1082133,0.6239228,0.79411876,1.9176257,1.2024317,1.6240807,1.8139117,1.5963098,-1.1011763,0.14833137,1.711805,0.46653396,-0.5082858,-1.5520715,-0.5648656,1.2998309,1.7708894,0.009357899,2.213475,-0.018742213,-0.2414723,0.23837277,0.5160506,0.019265141,0.6678298,-0.83371645,0.06027174,-0.16736022,-0.12488877,0.1481794,-0.12917356,0.28997403,0.49841464,-0.42589653,-0.33831906,0.6030861,0.49034128,-0.5776057,-0.4255639,-0.12461716,-0.929663,0.49866036,0.58256775,0.35666257,0.24569215,0.1871907,0.15001899,0.062429696,0.30517876,0.34082666,0.14552186,-0.06284069,0.19244921,-0.43131047,0.13743699,-0.6074585,0.4776284,0.0034783706,-0.16242665,0.013567254,0.25131607,0.36072567,-0.23563148,0.29690674,0.8873938,0.292596,0.028683351,-0.13167237,-0.0399933,-0.45475888,-0.4748049,-0.19011559,-0.051135466,-0.0026171766,0.019320644,0.25584483,0.32367623,-0.39909068,0.31882852,0.53615797,-0.02066214,0.036413383,0.18085743
